week_starting,total_searches,expert_searches,profiles_viewed,connections_requested,connections_made,avg_time_to_expert_hours,search_satisfaction_score,expert_match_accuracy
2024-09-02,850000,120000,95000,8500,4200,62.5,3.1,65%
2024-09-09,842000,118000,92000,8200,4000,64.2,3.0,64%
2024-09-16,835000,115000,89000,7900,3800,66.8,3.0,63%
2024-09-23,828000,112000,86000,7600,3600,68.5,2.9,62%
2024-09-30,820000,108000,82000,7200,3400,71.2,2.9,61%
2024-10-07,812000,105000,79000,6900,3200,73.5,2.8,60%
2024-10-14,805000,102000,76000,6600,3000,75.8,2.8,59%
2024-10-21,798000,100000,74000,6400,2850,77.2,2.7,58%
2024-10-28,790000,98000,72000,6200,2700,78.5,2.7,57%
2024-11-04,782000,96000,70000,6000,2600,79.8,2.6,56%
2024-11-11,775000,94000,68000,5800,2500,80.5,2.6,55%
2024-11-18,770000,92000,66000,5600,2400,81.2,2.5,54%
2024-11-25,752000,85000,58000,4800,2000,85.5,2.4,52%
2024-12-02,745000,82000,55000,4500,1850,88.2,2.4,51%
2024-12-09,755000,85000,58000,4800,2000,86.5,2.5,52%
2024-12-16,768000,90000,62000,5200,2200,83.8,2.5,54%
2024-12-23,690000,70000,45000,3500,1400,95.2,2.3,48%
2024-12-30,650000,58000,35000,2800,1100,102.5,2.2,45%
2025-01-06,780000,95000,70000,5900,2550,78.5,2.7,56%
2025-01-13,795000,100000,74000,6400,2800,75.2,2.8,58%
2025-01-20,805000,104000,78000,6800,3000,72.5,2.9,59%
2025-01-27,815000,108000,82000,7200,3200,70.2,3.0,61%
2025-02-03,810000,106000,80000,7000,3100,71.5,2.9,60%
2025-02-10,818000,110000,84000,7400,3300,68.8,3.0,62%
